原字段,en,ja,ar,de,es,fr,pt,th,vi,zh-TW,,,,,,,,,
I’m not jealous.,I’m not jealous.,私は嫉妬していません。,أنا لست غيور.,Ich bin nicht eifersüchtig.,No estoy celoso.,Je ne suis pas jaloux.,Eu não sou ciumento.,ฉันไม่อิจฉา,Tôi không ghen.,我沒有嫉妒。,,,,,,,,,
But who’s she.,But who’s she.,しかし、彼女は誰ですか。,لكن من هي.,Aber wer ist sie?,Pero ¿quién es ella?,Mais qui est-elle.,Mas quem é ela.,แต่เธอเป็นใคร,Nhưng cô ấy là ai.,但她是誰？,,,,,,,,,
I’m the main character.,I’m the main character.,私が主人公です。,أنا الشخصية الرئيسية.,Ich bin die Hauptfigur.,Soy el personaje principal.,Je suis le personnage principal.,Eu sou o personagem principal.,ฉันเป็นตัวละครหลัก,Tôi là nhân vật chính.,我是主角。,,,,,,,,,
But in a side story.,But in a side story.,しかし、サイドストーリーでは。,لكن في قصة جانبية.,Aber in einer Nebengeschichte.,Pero en una historia secundaria.,Mais dans une histoire parallèle.,Mas em uma história secundária.,แต่ในเรื่องข้าง,Nhưng trong một câu chuyện phụ.,但在一個側面故事中。,,,,,,,,,
I want to focus.,I want to focus.,集中したい。,أريد أن أركز.,Ich möchte mich konzentrieren.,Quiero concentrarme.,Je veux me concentrer.,Eu quero me concentrar.,ฉันต้องการโฟกัส,Tôi muốn tập trung.,我想集中注意力。,,,,,,,,,
But my brain is on vacation.,But my brain is on vacation.,しかし、私の脳は休暇中です。,لكن عقلي في إجازة.,Aber mein Gehirn ist im Urlaub.,Pero mi cerebro está de vacaciones.,Mais mon cerveau est en vacances.,Mas meu cérebro está de férias.,แต่สมองของฉันอยู่ในช่วงพักร้อน,Nhưng bộ não của tôi đang đi nghỉ.,但是我的大腦在度假。,,,,,,,,,
I want to lose weight.,I want to lose weight.,体重を減らしたいです。,أريد أن أفقد الوزن.,Ich möchte abnehmen.,Quiero perder peso.,Je veux perdre du poids.,Eu quero perder peso.,ฉันต้องการลดน้ําหนัก,Tôi muốn giảm cân.,我想減肥。,,,,,,,,,
But I love to eat.,But I love to eat.,でも、私は食べることが大好きです。,لكني أحب أن آكل.,Aber ich liebe es zu essen.,Pero me encanta comer.,Mais j'adore manger.,Mas eu adoro comer.,แต่ฉันชอบกิน,Nhưng tôi thích ăn.,但是我喜歡喫。,,,,,,,,,
I’m lazy.,I’m lazy.,私は怠惰です。,أنا كسول.,Ich bin faul.,Soy vago.,Je suis paresseux.,Eu sou preguiçoso.,ฉันขี้เกียจ,Tôi lười biếng.,我很懶。,,,,,,,,,
But I want a rich life.,But I want a rich life.,でも、豊かな生活が欲しい。,لكني أريد حياة غنية.,Aber ich will ein reiches Leben.,Pero quiero una vida rica.,Mais je veux une vie riche.,Mas eu quero uma vida rica.,แต่ฉันต้องการชีวิตที่ร่ำรวย,Nhưng tôi muốn một cuộc sống giàu có.,但是我想要豐富的生活。,,,,,,,,,
The cat can help test how healthy you are.,The cat can help test how healthy you are.,猫はあなたの健康状態をテストするのに役立ちます。,يمكن أن تساعد القطة في اختبار مدى صحتك.,"Die Katze kann helfen zu testen, wie gesund Sie sind.",El gato puede ayudar a probar qué tan saludable estás.,Le chat peut aider à tester votre état de santé.,O gato pode ajudar a testar o quão saudável você é.,แมวสามารถช่วยทดสอบว่าคุณแข็งแรงแค่ไหน,Mèo có thể giúp kiểm tra mức độ khỏe  của bạn.,貓可以幫助測試你有多健康。,,,,,,,,,
Complete the connections for your schedule.,Complete the connections for your schedule.,スケジュールの接続を完了してください。,أكمل الاتصالات لجدولك الزمني.,Schließen Sie die Verbindungen für Ihren Zeitplan ab.,Completa las conexiones para tu horario.,Complétez les connexions pour votre emploi du temps.,Complete as conexões para sua programação.,เสร็จสิ้นการเชื่อมต่อสำหรับกำหนดการของคุณ,Hoàn thành các kết nối cho lịch trình của bạn.,完成您的日程安排的連接。,,,,,,,,,
0 Points: A true medical miracle.,0 Points: A true medical miracle.,0点:真の医学の奇跡。,0 نقطة: معجزة طبية حقيقية.,0 Punkte: Ein wahres medizinisches Wunder.,0 Puntos: Un verdadero milagro médico.,0 Points : Un vrai miracle médical.,0 Pontos: Um verdadeiro milagre médico.,0 คะแนน: ปาฏิหาริย์ทางการแพทย์ที่แท้จริง,0 Điểm: Một phép màu y học thực sự.,0分：真正的醫學奇蹟。,,,,,,,,,
"You didn’t get up this morning, because you never went to sleep.","You didn’t get up this morning, because you never went to sleep.",今朝起きなかったのは、眠らなかったからです。,لم تستيقظ هذا الصباح ، لأنك لم تنام أبدًا.,"Du bist heute Morgen nicht aufgestanden, weil du nie eingeschlafen bist.",No te levantaste esta mañana porque nunca te fuiste a dormir.,"Tu ne t'es pas levé ce matin, parce que tu ne t'es jamais endormi.","Você não se levantou esta manhã, porque nunca foi dormir.",เช้านี้คุณไม่ได้ตื่นเพราะคุณไม่เคยไปนอน,"Bạn đã không thức dậy sáng nay, bởi vì bạn không bao giờ .",你今天早上沒有起牀，因爲你一直沒睡。,,,,,,,,,
1 Point: Your bloodstream is probably 80% coffee.,1 Point: Your bloodstream is probably 80% coffee.,1ポイント:あなたの血液の80%はおそらくコーヒーです。,نقطة واحدة: مجرى الدم هو على الأرجح 80 ٪ قهوة.,1 Punkt: Ihr Blutkreislauf besteht wahrscheinlich zu 80% aus Kaffee.,1 Punto: Tu torrente sanguíneo es probablemente 80% café.,1 Point : Votre circulation sanguine est probablement de 80 % de café.,1 Ponto: Sua corrente sanguínea é provavelmente 80% de café.,1 คะแนน: กระแสเลือดของคุณน่าจะเป็นกาแฟ 80%,1 Điểm: Máu của bạn có thể là 80% cà phê.,1點：你的血液可能是80%的咖啡。,,,,,,,,,
The only workout you do is walking to get your delivery.,The only workout you do is walking to get your delivery.,あなたが行う唯一のワークアウトは、配達を受けるために歩くことです。,التمرين الوحيد الذي تقوم به هو المشي للحصول على ولادتك.,"Das einzige Training, das Sie absolvieren, ist zu Fuß, um Ihre Lieferung zu erhalten.",El único entrenamiento que haces es caminar para conseguir tu entrega.,Le seul entraînement que vous faites est de marcher pour obtenir votre accouchement.,O único treino que você faz é caminhar para receber sua entrega.,การออกกำลังกายเพียงอย่างเดียวที่คุณทำคือการเดินเพื่อรับการจัดส่งของคุณ,Bài tập duy nhất bạn làm là đi bộ để nhận hàng.,你唯一做的鍛鍊就是走路送貨。,,,,,,,,,
2 Points: You survive purely on willpower.,2 Points: You survive purely on willpower.,2つのポイント:意志力だけで生き残ることができます。,نقطتان: أنت تعيش فقط على قوة الإرادة.,2 Punkte: Sie überleben nur mit Willenskraft.,2 Puntos: Sobrevives puramente con fuerza de voluntad.,2 Points : Vous survivez uniquement grâce à votre volonté.,2 Pontos: Você sobrevive puramente com força de vontade.,2 คะแนน: คุณอยู่รอดได้อย่างหมดจดด้วยความมุ่งมั่น,2 điểm: Bạn tồn tại hoàn toàn bằng ý chí.,2點：你完全依靠意志力生存。,,,,,,,,,
"Every health article roasts you, yet somehow, you’re still alive.","Every health article roasts you, yet somehow, you’re still alive.",すべての健康記事はあなたをローストしますが、どういうわけか、あなたはまだ生きています。,كل مقال صحي يشويك ، ولكن بطريقة ما ، ما زلت على قيد الحياة.,"Jeder Gesundheitsartikel röstet dich, aber irgendwie lebst du noch.","Cada artículo de salud te tuesta, pero de alguna manera, sigues vivo.","Chaque article sur la santé vous rôtit, mais d'une manière ou d'une autre, vous êtes toujours en vie.","Cada artigo de saúde assa você, mas de alguma forma, você ainda está vivo.",ทุกบทความด้านสุขภาพย่างคุณ แต่อย่างใดคุณยังมีชีวิตอยู่,"Mọi bài báo về sức khỏe đều nướng bạn, nhưng bằng cách nào đó, bạn vẫn còn sống.",每一篇健康文章都在烤你，但不知何故，你還活着。,,,,,,,,,
3 Points: You’re basically a wellness deity sipping herbal tea at sunrise.|,3 Points: You’re basically a wellness deity sipping herbal tea at sunrise.|,3つのポイント:あなたは基本的に日の出時にハーブティーを飲むウェルネスの神様です。,3 نقاط: أنت في الأساس إله عافية يحتسي شاي الأعشاب عند شروق الشمس. |,"3 Punkte: Du bist im Grunde eine Wellness-Gottheit, die bei Sonnenaufgang Kräutertee schlürft.|",3 Puntos: Eres básicamente una deidad del bienestar bebiendo té de hierbas al amanecer. |,3 Points : Vous êtes fondamentalement une divinité du bien-être en sirotant une tisane au lever du soleil. |,3 Pontos: Você é basicamente uma divindade do bem-estar tomando chá de ervas ao nascer do sol. |,3 คะแนน: โดยพื้นฐานแล้วคุณเป็นเทพแห่งสุขภาพที่จิบชาสมุนไพรตอนพระอาทิตย์ขึ้น |,"3 Điểm: Về cơ bản, bạn là một vị thần chăm sóc sức khỏe đang nhâm nhi trà thảo mộc  lúc mặt trời mọc. |",3點：你基本上是一個日出時喝涼茶的健康神。|,,,,,,,,,
"Sometimes healthy, sometimes crashing, like Windows 98 during an update.","Sometimes healthy, sometimes crashing, like Windows 98 during an update.",時には健康的で、時にはクラッシュすることがあります。例えば、アップデート中のWindows 98のように。,أحيانًا يكون صحيًا ، وأحيانًا يتعطل ، مثل Windows 98 أثناء التحديث.,"Manchmal gesund, manchmal abstürzend, wie Windows 98 während eines Updates.","A veces saludable, a veces fallando, como Windows 98 durante una actualización.","Parfois sain, parfois plantant, comme Windows 98 lors d'une mise à jour.","Às vezes saudável, às vezes travando, como o Windows 98 durante uma atualização.",บางครั้งมีสุขภาพดีบางครั้งก็พังเช่น Windows 98 ในระหว่างการอัพเดต,"Đôi khi khỏe , đôi khi bị rơi, như Windows 98 trong một bản cập nhật.",有時是正常的，有時是崩潰的，就像Windows 98在更新時一樣。,,,,,,,,,
4 Points: You’re a god soaking goji berries in a thermos.,4 Points: You’re a god soaking goji berries in a thermos.,4ポイント:あなたは魔法瓶にクコの実を浸す神様です。,4 نقاط: أنت إله تنقع توت الغوجي في الترمس.,"4 Punkte: Du bist ein Gott, der Goji-Beeren in einer Thermoskanne einweicht.",4 Puntos: Eres un dios empapando bayas de goji en un termo.,4 Points : Vous êtes un dieu trempant des baies de goji dans un thermos.,4 Pontos: Você é um deus mergulhando bagas de goji em uma garrafa térmica.,4 คะแนน: คุณเป็นพระเจ้าที่แช่โกจิเบอร์รี่ในกระติกน้ำร้อน,4 Điểm: Bạn là một vị thần ngâm quả goji trong phích nước.,4點：你是一個用保溫瓶浸泡枸杞的神。,,,,,,,,,
Even your doctor would give you a standing ovation.,Even your doctor would give you a standing ovation.,あなたの医者でさえ、スタンディングオベーションをしてくれるでしょう。,حتى طبيبك سوف يمنحك ترحيبا حارا.,Sogar Ihr Arzt würde Ihnen stehende Ovationen geben.,Incluso tu médico te daría una ovación de pie.,Même votre médecin vous ferait une ovation debout.,Até o seu médico te aplaudiria de pé.,แม้แต่แพทย์ของคุณก็ยังปรบมือให้คุณ,Ngay cả bác sĩ của bạn cũng sẽ dành cho bạn sự hoan nghênh nhiệt liệt.,甚至你的醫生也會起立爲你鼓掌。,,,,,,,,,
Scan data shows you are not of my world. Stop claiming random individuals as your mother.,Scan data shows you are not of my world. Stop claiming random individuals as your mother.,スキャンデータによると、あなたは私の世界に属していません。ランダムな個人を母親として主張するのはやめましょう。,تظهر بيانات المسح أنك لست من عالمي. توقف عن ادعاء الأفراد العشوائيين كأمك.,"Scandaten zeigen, dass du nicht von meiner Welt bist. Hören Sie auf, beliebige Personen als Ihre Mutter zu bezeichnen.",Los datos de escaneo muestran que no eres de mi mundo. Deja de reclamar individuos aleatorios como tu madre.,Les données d'analyse montrent que vous n'êtes pas de mon monde. Arrêtez de revendiquer des individus aléatoires comme votre mère.,Dados de varredura mostram que você não é do meu mundo. Pare de reivindicar indivíduos aleatórios como sua mãe.,ข้อมูลการสแกนแสดงให้เห็นว่าคุณไม่ได้อยู่ในโลกของฉัน หยุดอ้างว่าบุคคลสุ่มเป็นแม่ของคุณ,Dữ liệu quét cho thấy bạn không thuộc thế giới của tôi. Ngừng tuyên bố những cá nhân ngẫu nhiên là mẹ của bạn.,掃描數據顯示你不屬於我的世界。停止聲稱隨機的人是你的母親。,,,,,,,,,
Woof woof woof! Not every living thing you see is your mother!,Woof woof woof! Not every living thing you see is your mother!,ワンワンワン!あなたが見るすべての生き物があなたの母親ではありません!,اللحمة اللحمة اللحمة! ليس كل شيء حي تراه هو والدتك!,"Wuff, wuff, wuff! Nicht jedes Lebewesen, das du siehst, ist deine Mutter!",¡Guau guau guau! ¡No todos los seres vivos que ves son tu madre!,Woof woof woof! Tous les êtres vivants que vous voyez ne sont pas votre mère!,Nem todo ser vivo que você vê é sua mãe!,วูฟ วูฟ วูฟ! ไม่ใช่ทุกสิ่งมีชีวิตที่คุณเห็นคือแม่ของคุณ!,Gâu gâu gâu gâu! Không phải mọi sinh vật bạn nhìn thấy đều là mẹ của bạn!,汪汪汪汪！不是你看到的每一個生物都是你的母親！,,,,,,,,,
"Do you like my new look? Say something nice, and I'll be your mother!","Do you like my new look? Say something nice, and I'll be your mother!",私の新しいルックは気に入りましたか?何かいいことを言ってください、そして私はあなたのお母さんになります!,هل تحب شكلي الجديد ؟ قل شيئًا لطيفًا ، وسأكون والدتك!,"Gefällt dir mein neuer Look? Sag etwas Nettes, und ich werde deine Mutter sein!",¿Te gusta mi nuevo look? ¡Di algo agradable y seré tu madre!,"Aimez-vous mon nouveau look? Dites quelque chose de gentil, et je serai votre mère!",Você gosta do meu novo visual? Diga algo legal e eu serei sua mãe!,คุณชอบปลักษณ์ใหม่ของฉันหรือไม่ พูดสิ่งที่ดีและฉันจะเป็นแม่ของคุณ!,"Bạn có thích diện mạo mới của tôi không? Hãy nói điều gì đó tốt đẹp, và tôi sẽ là mẹ của bạn!",你喜歡我的新造型嗎？說點好聽的，我就做你媽媽！,,,,,,,,,
"Little squirt, I'm not your mother. But if you like mud and stinky smells too, we can be friends!","Little squirt, I'm not your mother. But if you like mud and stinky smells too, we can be friends!",小さなスクワート、私はあなたの母親ではありません。しかし、あなたが泥と臭い匂いも好きなら、私たちは友達になれます!,بخ صغير ، أنا لست والدتك. ولكن إذا كنت تحب الطين والروائح الكريهة أيضًا ، فيمكننا أن نكون أصدقاء!,"Kleiner Knirps, ich bin nicht deine Mutter. Aber wenn du auch Schlamm und stinkende Gerüche magst, können wir Freunde sein!","Pequeño chorro, no soy tu madre. Pero si también te gusta el barro y los olores apestosos, ¡podemos ser amigos!","Petite giclée, je ne suis pas ta mère. Mais si tu aimes aussi la boue et les odeurs puantes, nous pouvons être amis!","Pequeno esguicho, não sou sua mãe. Mas se você gosta de lama e cheiros fedorentos também, podemos ser amigos!",ฉีดน้อยฉันไม่ใช่แม่ของคุณ แต่ถ้าคุณชอบโคลนและกลิ่นเหม็นด้วยเราสามารถเป็นเพื่อนกันได้!,"Con mực nhỏ, mẹ không phải là mẹ của con. Nhưng nếu bạn cũng thích bùn và mùi hôi thối, chúng ta có thể là bạn của nhau!",小東西，我不是你媽媽。但是如果你也喜歡泥巴和臭味，我們可以成爲朋友！,,,,,,,,,
"Although I am mysterious, noble, and strong, I apologize, but I am not your mother.","Although I am mysterious, noble, and strong, I apologize, but I am not your mother.",私は神秘的で高潔で強いですが、謝罪しますが、私はあなたの母親ではありません。,على الرغم من أنني غامض ونبيل وقوي ، إلا أنني أعتذر ، لكنني لست والدتك.,"Obwohl ich geheimnisvoll, edel und stark bin, entschuldige ich mich, aber ich bin nicht deine Mutter.","Aunque soy misteriosa, noble y fuerte, me disculpo, pero no soy tu madre.","Bien que je sois mystérieuse, noble et forte, je m'excuse, mais je ne suis pas ta mère.","Embora eu seja misteriosa, nobre e forte, peço desculpas, mas não sou sua mãe.",แม้ว่าฉันจะลึกลับ สูงส่ง และแข็งแกร่ง แต่ฉันขอโทษ แต่ฉันไม่ใช่แม่ของคุณ,"Mặc dù tôi bí ẩn, cao quý và  mẽ, tôi xin lỗi, nhưng tôi không phải là mẹ của bạn.",雖然我神祕、高貴、強大，我道歉，但我不是你的母親。,,,,,,,,,
Hurry up and find your mom!,Hurry up and find your mom!,早くお母さんを探して!,أسرع وابحث عن والدتك!,Beeil dich und finde deine Mutter!,¡Date prisa y encuentra a tu mamá!,Dépêchez-vous et trouvez votre maman!,Apresse-se e encontre sua mãe!,รีบไปหาแม่ของคุณ!,Nhanh lên và tìm mẹ của bạn!,快點去找你媽媽！,,,,,,,,,
"Connect the tadpole with its ‘mom,’ LOL😂","Connect the tadpole with its ‘mom,’ LOL😂",オタマジャクシを「お母さん」とつなぐ、LOL😂,"قم بتوصيل الشرغوف بـ ""أمه"" ، LOL😂","Verbinden Sie die Kaulquappe mit ihrer Mutter, LOL😂","Conecte el renacuajo con su ""mamá"", LOL😂","Connectez le têtard avec sa ""maman"", LOL😂","Conecte o girino com sua mãe, LOL😂","เชื่อมต่อลูกอ๊อดกับ ""แม่"" ของมัน LOL😂","Kết nối nòng nọc với ""mẹ"" của nó, LOL😂",將蝌蚪與它的“媽媽”聯繫起來，LOL😂,,,,,,,,,
Touch the picture to test your double life.,Touch the picture to test your double life.,二重生活をテストするために写真をタッチしてください。,المس الصورة لاختبار حياتك المزدوجة.,"Berühren Sie das Bild, um Ihr Doppelleben zu testen.",Toca la imagen para probar tu doble vida.,Touchez l'image pour tester votre double vie.,Toque na imagem para testar sua vida dupla.,สัมผัสภาพเพื่อทดสอบชีวิตคู่ของคุณ,Chạm  hình ảnh để kiểm tra cuộc sống hai mặt của bạn.,觸摸圖片來測試你的雙重生活。,,,,,,,,,
Slide the button to see your dual personality.,Slide the button to see your dual personality.,ボタンをスライドさせて、あなたの二重人格を確認してください。,حرك الزر لرؤية شخصيتك المزدوجة.,"Schieben Sie die Schaltfläche, um Ihre doppelte Persönlichkeit zu sehen.",Desliza el botón para ver tu doble personalidad.,Faites glisser le bouton pour voir votre double personnalité.,Deslize o botão para ver sua dupla personalidade.,เลื่อนปุ่มเพื่อดูบุคลิกคู่ของคุณ,Trượt nút để xem tính cách kép của bạn.,滑動按鈕以查看您的雙重個性。,,,,,,,,,
Your outer self,Your outer self,あなたの外側の自己,نفسك الخارجي,dein äußeres Selbst,Tu yo exterior,Votre moi extérieur,Seu eu exterior,ตัวตนภายนอกของคุณ,Bản thân bên ngoài của bạn,你的外在自我,,,,,,,,,
Your inner self,Your inner self,あなたの内なる自己,نفسك الداخلية,dein inneres Selbst,Tu yo interior,Votre moi intérieur,Seu eu interior,ตัวตนภายในของคุณ,Nội tâm của bạn,你的內在自我,,,,,,,,,
Hurry up and find your mom!,Hurry up and find your mom!,早くお母さんを探して!,أسرع وابحث عن والدتك!,Beeil dich und finde deine Mutter!,¡Date prisa y encuentra a tu mamá!,Dépêchez-vous et trouvez votre maman!,Apresse-se e encontre sua mãe!,รีบไปหาแม่ของคุณ!,Nhanh lên và tìm mẹ của bạn!,快點去找你媽媽！,,,,,,,,,
"Connect the tadpole with its ‘mom,’ LOL😂","Connect the tadpole with its ‘mom,’ LOL😂",オタマジャクシを「お母さん」とつなぐ、LOL😂,"قم بتوصيل الشرغوف بـ ""أمه"" ، LOL😂","Verbinden Sie die Kaulquappe mit ihrer Mutter, LOL😂","Conecte el renacuajo con su ""mamá"", LOL😂","Connectez le têtard avec sa ""maman"", LOL😂","Conecte o girino com sua mãe, LOL😂","เชื่อมต่อลูกอ๊อดกับ ""แม่"" ของมัน LOL😂","Kết nối nòng nọc với ""mẹ"" của nó, LOL😂",將蝌蚪與它的“媽媽”聯繫起來，LOL😂,,,,,,,,,
Scan data shows you are not of my world. Stop claiming random individuals as your mother.,Scan data shows you are not of my world. Stop claiming random individuals as your mother.,スキャンデータによると、あなたは私の世界に属していません。ランダムな個人を母親として主張するのはやめましょう。,تظهر بيانات المسح أنك لست من عالمي. توقف عن ادعاء الأفراد العشوائيين كأمك.,"Scandaten zeigen, dass du nicht von meiner Welt bist. Hören Sie auf, beliebige Personen als Ihre Mutter zu bezeichnen.",Los datos de escaneo muestran que no eres de mi mundo. Deja de reclamar individuos aleatorios como tu madre.,Les données d'analyse montrent que vous n'êtes pas de mon monde. Arrêtez de revendiquer des individus aléatoires comme votre mère.,Dados de varredura mostram que você não é do meu mundo. Pare de reivindicar indivíduos aleatórios como sua mãe.,ข้อมูลการสแกนแสดงให้เห็นว่าคุณไม่ได้อยู่ในโลกของฉัน หยุดอ้างว่าบุคคลสุ่มเป็นแม่ของคุณ,Dữ liệu quét cho thấy bạn không thuộc thế giới của tôi. Ngừng tuyên bố những cá nhân ngẫu nhiên là mẹ của bạn.,掃描數據顯示你不屬於我的世界。停止聲稱隨機的人是你的母親。,,,,,,,,,
